,N Estimators,Num Leaves,Learning Rate,Num Latent Topics,RBP,DCG,AP,Average Score
0,5,5,0.001,50,0.5384368719097016,5.312033594501158,0.41435799122060507,2.0882761525438216
1,5,5,0.001,200,0.5304501626784363,5.2932735152435475,0.4113935138624385,2.078372397261474
2,20,5,0.001,200,0.5315688091261646,5.288358949024943,0.4094538637210141,2.07646054062404
3,5,5,0.001,350,0.5287137325650669,5.290093637898533,0.4071744849608178,2.0753272851414724
4,5,5,0.01,50,0.5339298796720489,5.287568098277829,0.4042615579671397,2.075253178639006
5,20,5,0.001,50,0.5328813602686533,5.285805541305416,0.40392466328578747,2.0742038549532857
6,5,20,0.001,350,0.5257037705508479,5.270565633645538,0.40267673764624384,2.0663153806142103
7,50,5,0.001,50,0.530732640171515,5.245092796031698,0.39728384889773843,2.057703095033651
8,5,50,0.001,50,0.5164870135204728,5.254343575601557,0.3945920118840799,2.0551408670020366
9,0,0,0,0,0.5213963194282545,5.222926083060825,0.4088530276094345,2.0510584766995046
10,5,20,0.001,200,0.5214568123162132,5.237231408965401,0.3931914755203398,2.050626565600651
11,50,5,0.001,200,0.5252314313340299,5.230762163184817,0.39153977861512057,2.049177791044656
12,5,5,0.01,200,0.5227677621254069,5.226992338834638,0.38958683696097673,2.0464489793070073
13,5,20,0.001,50,0.5137412761440998,5.225385124525175,0.38739854836811166,2.0421749830124623
14,5,20,0.01,200,0.5166600372385556,5.205286883927035,0.3862005439151542,2.0360491550269146
15,5,50,0.001,200,0.5127134469034316,5.202629526465052,0.3829305020597667,2.0327578251427503
16,5,5,0.1,50,0.5003742077510428,5.160640787998436,0.3758778626755838,2.012297619475021
17,50,20,0.001,50,0.49022852648563714,5.154843139327171,0.37227224490610256,2.00578130357297
18,20,20,0.001,200,0.49138251536383565,5.148999840499479,0.37338760869141396,2.0045899881849096
19,20,20,0.001,50,0.49633209919919247,5.1378983902067,0.3697045861613846,2.001311691855759
20,5,50,0.001,350,0.49707384854564224,5.128883546891307,0.37613260893114453,2.000696668122698
21,5,20,0.01,50,0.4930001853182962,5.123338491892582,0.36622800806714473,1.9941888950926743
22,20,5,0.01,50,0.4913884779277699,5.115036251564719,0.36462259454202567,1.990349108011505
23,5,20,0.01,350,0.48612219571342524,5.119515752032981,0.36230307495903663,1.9893136742351476
24,50,5,0.01,50,0.4861112922594234,5.112694365016537,0.3623182070722232,1.9870412881160613
25,20,5,0.01,200,0.48763215026481327,5.106901409161282,0.3642618513694476,1.9862651369318478
26,20,20,0.001,350,0.47922798161144636,5.105389890471934,0.36083221708015506,1.9818166963878452
27,20,50,0.001,50,0.49353732485044344,5.091568750318001,0.359152414406078,1.9814194965248408
28,5,20,0.1,50,0.48481298113000654,5.100793329610619,0.35841826106434294,1.9813415239349894
29,20,50,0.001,200,0.47632810656498226,5.078687692204855,0.3568052136405744,1.9706070041368038
30,20,50,0.001,350,0.4715852053224542,5.080011158130719,0.3569652020334725,1.9695205218288818
31,5,50,0.01,50,0.48584235949683996,5.069239976355793,0.35320999712807033,1.9694307776602347
32,50,50,0.001,200,0.4795706449095195,5.071722439447476,0.35496083424438113,1.968751306200459
33,50,50,0.001,50,0.4789591536374117,5.05560959998403,0.35363418150428877,1.9627343117085767
34,20,50,0.01,50,0.4416757468895059,4.888431598908207,0.3292005089370266,1.8864359515782467
35,20,5,0.1,50,0.4418629706215614,4.881920663883815,0.3105140602114597,1.8780992315722784
36,5,5,0.01,350,0.4196206033539276,4.87368429273296,0.3206016031773824,1.8713021664214236
37,50,20,0.001,200,0.421956931210853,4.87161476726629,0.31589973358790396,1.869823810688349
38,50,5,0.001,350,0.39854003966661433,4.820775387983063,0.31732880755572423,1.8455480784018006
39,50,5,0.01,200,0.4043237984984836,4.807229146624669,0.3057079355209001,1.8390869602146844
40,20,20,0.01,350,0.3869422564141546,4.775134637739116,0.3029065963636238,1.8216611635056312
